Text Only_Composite,Text Only_Silhouette,Image Only_Composite,Image Only_Silhouette,Early Fusion_Composite,Early Fusion_Silhouette,Late Fusion_Composite,Late Fusion_Silhouette,Attention Fusion_Composite,Attention Fusion_Silhouette
0.4090307888831849,0.09885480624119812,0.37861181062683347,0.07482136,0.4047727831795321,0.08835307692662786,0.36847170099078086,0.069601239362344,0.394534709492772,0.094326040405032
0.4033931330611687,0.12703786295903696,0.3876573532440193,0.092825525,0.42582107175254846,0.12091808813583275,0.36974593607912726,0.06850903678273285,0.37779683286481636,0.08350865779073784
0.39189986962663537,0.07509862323834421,0.37625173285705293,0.029550439,0.4132536333224323,0.055513890085150334,0.3770292586602435,0.0893159683369626,0.3842291730057975,0.10329923188524748
0.4051815512244116,0.12145751304005079,0.43210347290010065,0.12988152,0.40607953003989644,0.11318765119380941,0.36967926090707215,0.06352424913164992,0.38625113004462686,0.09589845020231405
0.44132006588858974,0.16392297678754936,0.39076794263626113,0.07864768,0.43860593372468515,0.15642624711038333,0.3842418049217352,0.08508613277784173,0.38640689667209216,0.08389078716289329
0.40388874093621385,0.06190446341732443,0.40135498412308435,0.065623395,0.4514005434654992,0.19700348968292217,0.3840116298535793,0.08822952990179435,0.3846825659031934,0.08921260842015857
0.39474094849237706,0.11317251511664665,0.3731491993991668,0.04734659,0.39383573667382094,0.0976202056425028,0.38537593410316606,0.06073803757506928,0.3763342119129864,0.08690882053144074
0.4084101053294292,0.12665704687559692,0.389914464379314,0.078966,0.4131956695044426,0.11349886442814518,0.37950290923376034,0.0852495206967384,0.3793192475858087,0.08422676981008173
0.41802308154748474,0.11293366032218129,0.3711963800778093,0.056711566,0.4450388180624027,0.18155073800167484,0.3699955197109847,0.06787493949476978,0.38443586228385906,0.10728320971757538
0.41566402838464367,0.09815747923829037,0.4091786918720317,0.08259134,0.4252364338827128,0.1214116265495533,0.37479816461301285,0.06861421652378795,0.3830153344395658,0.09991773732209938
0.40276594690861445,0.06345509989253745,0.39896515598352955,0.063415475,0.39133298446006365,0.1060783661933352,0.365090366046793,0.06594851274039684,0.370750966523147,0.07421463306183208
0.43329601152117414,0.16680286106013048,0.3760602155125499,0.062191647,0.4325877429574605,0.1635512124588344,0.3752305483069617,0.07953750326717089,0.37001988875473035,0.06427196221990211
0.44531533108449994,0.1768778024627487,0.3877367176766753,0.05816504,0.45135275556522375,0.19030919967672957,0.38224038598929483,0.09933444203369002,0.3542096722501517,0.04347777020046948
0.41104771377959964,0.08875956149610602,0.3703195167171903,0.05192434,0.41134691022998304,0.08714328849094123,0.36527582362850586,0.06056143118727069,0.36983451529356776,0.06539108026114791
0.38448288000430336,0.09293368712668991,0.3965120066072054,0.07389116,0.4413682477330353,0.16152513248471967,0.37217905372349624,0.07458076751303047,0.3668412149362214,0.0646181313093953
0.397386571388677,0.09143572674678106,0.401688306550308,0.049713846,0.39549899402056155,0.08636396578068092,0.3607968430625659,0.05620763810561845,0.3668894412615503,0.06549127349692947
0.45832578786409006,0.21423268804109122,0.38931673031242087,0.08719239,0.4673910324825162,0.2357435172323173,0.3850565846577962,0.09030499646918166,0.3877219807266744,0.08838824276585289
0.3969598401050397,0.07378920280715656,0.3787816004234894,0.07264781,0.41182111507053376,0.08720586839903738,0.3783617423409064,0.0916458510178101,0.37613897667715424,0.0905182855620334
0.4134440576431224,0.14600312135040994,0.3989972667758296,0.06790433,0.38459435568113526,0.08943419241509495,0.3860881856432765,0.100627566163799,0.3850424714598551,0.09145569995384059
0.40038536755602694,0.14420201768164226,0.3825125506099304,0.07221481,0.43006157730109407,0.1388796585068437,0.37312353552482014,0.07400564560463396,0.3679308927377486,0.054052943847494685
