Method,Mean_Score,Std_Score,Median_Score,CI_Lower,CI_Upper,Mean_Silhouette,Std_Silhouette,Optimal_K_Mean,Optimal_K_Mode,N_Runs
Early Fusion,0.421729793455479,0.02227692538701896,0.4192450336025726,0.4110330231707761,0.4324265637401819,0.12958591396975677,0.045657075288859914,6.4,6,20
Text Only,0.41174809106146426,0.018638234207256167,0.4067958282769204,0.40279852076108136,0.42069766136184716,0.11788443579507564,0.039857369847175084,7.25,9,20
Image Only,0.38955380496424014,0.014726311739616728,0.3885267239945481,0.3824826328395898,0.3966249770888905,0.06981132179498672,0.02012188546359539,5.8,5,20
Attention Fusion,0.377619299241316,0.009512247056688359,0.37855804022531253,0.37305177836987524,0.38218682011275673,0.08151761679632391,0.016635076779062792,7.3,9,20
Late Fusion,0.3753147593998939,0.007463719370551197,0.37501435645998726,0.371730885494979,0.3788986333048088,0.07697486123431466,0.013100079137888958,6.85,6,20
